"","Date","Text","bing_score","nrc_score","afin_score"
"1938","2017-10-25","congrats to reince priebus a really good and talented man we re proud of you reince  t co asjamrsnv",1,1,1
"1943","2017-10-26","working together we will defeat this opioidepidemic amp free our nation from the terrible affliction of drug abuse  t co iazjqgmwav  t co mzi uqn oz",-1,-1,-1
"1944","2017-10-26","will be another sean success  t co slntenvjla",1,1,1
"1946","2017-10-26","ed gillespie will be a great governor of virginia his opponent doesn t even show up to meetings work and will be very weak on crime ",-1,-1,-1
"1953","2017-10-27","happy birthday theleegreenwood flashbackfriday  t co mcrmk eurm",1,1,1
"1954","2017-10-27","congratulations to speakerryan gopleader stevescalise and to the republican party on budget passage yesterday now for biggest tax cuts",1,-1,1
"1956","2017-10-27","happy birthday to the great theleegreenwood you and your beautiful song have made such a difference make america great again ",1,1,1
"1957","2017-10-27","good luck to joy villa on her decision to enter the wonderful world of politics she has many fans ",1,1,1
"1962","2017-10-27","wacky amp totally unhinged tom steyer who has been fighting me and my make america great again agenda from beginning never wins elections ",1,-1,1
"1963","2017-10-27","happy birthday to the great leegreenwood you and your beautiful song have made such a difference make america great again ",1,1,1
"1967","2017-10-28","just read the nice remarks by president jimmy carter about me and how badly i am treated by the press fake news thank you mr president ",-1,-1,-1
"1972","2017-10-28","while not at all presidential i must point out that the sloppy michael moore show on broadway was a total bomb and was forced to close sad ",-1,-1,-1
"1973","2017-10-28"," in order to put any and all conspiracy theories to rest ",-1,1,-1
"1974","2017-10-28","happy firstrespondersday to all of our heroes out there we are forever grateful to you for your service sacrifice and courage  t co voctlyoeyw",1,1,1
"1977","2017-10-29"," are now fighting back like never before there is so much guilt by democrats clinton and now the facts are pouring out do something ",-1,-1,-1
"1978","2017-10-29","never seen such republican anger amp unity as i have concerning the lack of investigation on clinton made fake dossier now ",-1,-1,-1
"1979","2017-10-29"," collusion which doesn t exist the dems are using this terrible and bad for our country witch hunt for evil politics but the r s ",-1,-1,-1
"1984","2017-10-30"," also there is no collusion ",-1,-1,-1
"1988","2017-10-31","my thoughts condolences and prayers to the victims and families of the new york city terrorist attack god and your country are with you ",-1,-1,-1
"1990","2017-10-31","wishing everyone a safe and happy halloween halloween  t co brpgxvri y",1,1,1
"1991","2017-10-31","in nyc looks like another attack by a very sick and deranged person law enforcement is following this closely not in the u s a ",-1,-1,-1
"1993","2017-10-31"," statement by president trump on the apprehension of mustafa al imam for his alleged role in benghazi attacks  t co u wjmfglm",-1,1,-1
"1994","2017-10-31","the fake news is working overtime as paul manaforts lawyer said there was no collusion and events mentioned took place long before he ",-1,-1,-1
"1998","2017-10-31"," consumer confidence hits highest level since december read more  t co w wkcobfun  t co nlo xcnuix",1,1,1
"2001","2017-11-01","thank you to the great nypd first responders and all govt officials for having handled the terrible west side attack so professionally  t co impidozjan",-1,-1,1
"2003","2017-11-01"," nygovcuomo nycmayor fully supports any and all of their efforts with respect to the west side attack nycstrong",1,1,1
"2004","2017-11-01","the terrorist came into our country through what is called the diversity visa lottery program a chuck schumer beauty i want merit based ",1,1,1
"2011","2017-11-01","we mourn the horrifying terrorist attack in nyc all of america is praying and grieving for the families who lost their precious loved ones  t co wzfhxoje k",-1,-1,-1
"2017","2017-11-02"," this is real collusion and dishonesty major violation of campaign finance laws and money laundering where is our justice department ",-1,1,1
"2021","2017-11-02","today it was my pleasure and great honor to announce my nomination of jerome powell to be the next chairman of the federalreserve  t co adury zws",1,1,1
"2022","2017-11-02","great mtg w cabinet today tomorrow i will be announcing the new head of the fed i think you will be extremely impressed by this person  t co asjvlgaig",1,1,1
"2023","2017-11-02","congress must end chain migration so that we can have a system that is security based we need to make america safe usa  t co d l yw ivy",1,1,1
"2027","2017-11-02","the united states will be immediately implementing much tougher extreme vetting procedures the safety of our citizens comes first ",1,1,1
"2028","2017-11-02","it is finally happening for our great clean coal miners  t co suanjs ccz",1,1,1
"2029","2017-11-02"," there is also something appropriate about keeping him in the home of the horrible crime he committed should move fast death penalty ",-1,-1,-1
"2030","2017-11-02","nyc terrorist was happy as he asked to hang isis flag in his hospital room he killed people badly injured should get death penalty ",-1,-1,-1
"2031","2017-11-02","happy birthday to garyplayer a truly great champion and person ",1,1,1
"2032","2017-11-02","great tax cut rollout today the lobbyists are storming capital hill but the republicans will hold strong and do what is right for america ",1,-1,1
"2033","2017-11-03","i will be interviewed by ingrahamangle on foxnews at enjoy ",1,1,1
"2036","2017-11-03","i always felt i would be running and winning against bernie sanders not crooked h without cheating i was right ",-1,1,1
"2038","2017-11-03","the rigged dem primary one of the biggest political stories in years got zero coverage on fake news network tv last night disgraceful ",-1,-1,-1
"2041","2017-11-03"," based on that the military has hit isis much harder over the last two days they will pay a big price for every attack on us ",-1,-1,-1
"2042","2017-11-03","getting ready to land in hawaii looking so much forward to meeting with our great military veterans at pearl harbor ",1,1,1
"2047","2017-11-03","the decision on sergeant bergdahl is a complete and total disgrace to our country and to our military ",-1,-1,-1
"2048","2017-11-03","pocahontas just stated that the democrats lead by the legendary crooked hillary clinton rigged the primaries lets go fbi amp justice dept ",1,1,1
"2050","2017-11-04","thank you for such a beautiful welcome hawaii my great honor to visit pacificcommand upon arrival heading to pearl harbor w flotus now  t co gdme cmns",1,1,1
"2054","2017-11-04","rt ivankatrump touched by the warm hospitality of prime minister abe and the japanese people thank you until next time ",1,1,1
"2058","2017-11-05","it was a true honor to be at yokota air base with our great usforcesjapan  t co kexnikkqks",1,1,1
"2060","2017-11-05","playing golf with prime minister abe and hideki matsuyama two wonderful people  t co vylule o k",1,1,1
"2061","2017-11-06","my visit to japan and friendship with pm abe will yield many benefits for our great country massive military amp energy orders happening ",1,1,1
"2064","2017-11-06","i have great confidence in king salman and the crown prince of saudi arabia they know exactly what they are doing ",1,1,1
"2065","2017-11-06","getting ready to leave for south korea and meetings with president moon a fine gentleman we will figure it all out ",1,1,1
"2066","2017-11-06","the state of virginia economy under democrat rule has been terrible if you vote ed gillespie tomorrow it will come roaring back ",-1,-1,-1
"2068","2017-11-07"," and has been horrible on virginia economy vote edwgillespie today ",-1,-1,-1
"2070","2017-11-07","ralph northam will allow crime to be rampant in virginia he s weak on crime weak on our great vets anti second amendment ",-1,-1,-1
"2072","2017-11-07","it was my great honor to have lunch with our incredible u s and rok troops at camp humphreys in south korea  t co njirz inm  t co knlyonhbcc",1,1,1
"2073","2017-11-07","franklin such a great photo happy th birthday to your father billygraham  t co l c rvvoa ",1,1,1
"2075","2017-11-07"," edwgillespie will totally turn around the high crime and poor economic performance of va ms and crime will be gone vote today asap ",-1,-1,-1
"2078","2017-11-07","thank you to president moon of south korea for the beautiful welcoming ceremony it will always be remembered  t co bmvjz iv a",1,1,1
"2081","2017-11-08","looking forward to a full day of meetings with president xi and our delegations tomorrow thank you for the beautiful welcome china flotus melania and i will never forget it  t co sqouwigaiq",1,1,1
"2083","2017-11-08","getting ready to make a major speech to the national assembly here in south korea then will be headed to china where i very much look forward to meeting with president xi who is just off his great political victory ",1,1,1
"2084","2017-11-08","anyone who doubts the strength or determination of the u s should look to our past and you will doubt it no longer  t co zyuyc fih ",-1,1,-1
"2086","2017-11-08","together we dream of a korea that is free a peninsula that is safe and families that are reunited once again  t co tszrcc j",1,1,1
"2087","2017-11-08","noko has interpreted america s past restraint as weakness this would be a fatal miscalculation do not underestimate us and do not try us  t co llqlrnpk ",-1,-1,-1
"2088","2017-11-08","the u s under my administration is completely rebuilding its military and they re spending hundreds of billions of dollars to the newest and finest military equipment anywhere in the world being built right now i want peace through strength  t co yxkivrifi",1,1,1
"2089","2017-11-08","ed gillespie worked hard but did not embrace me or what i stand for don t forget republicans won out of house seats and with the economy doing record numbers we will continue to win even bigger than before ",1,1,1
"2091","2017-11-09","in the coming months and years ahead i look forward to building an even stronger relationship between the united states and china  t co mk sb t ev",1,1,1
"2092","2017-11-09","my meetings with president xi jinping were very productive on both trade and the subject of north korea he is a highly respected and powerful representative of his people it was great being with him and madame peng liyuan ",1,1,1
"2093","2017-11-09","president xi thank you for such an incredible welcome ceremony it was a truly memorable and impressive display  t co j x h lbe  t co g z mo cv ",1,1,1
"2094","2017-11-09","i don t blame china i blame the incompetence of past admins for allowing china to take advantage of the u s on trade leading up to a point where the u s is losing s of billions how can you blame china for taking advantage of people that had no clue i would ve done same ",-1,-1,-1
"2096","2017-11-10","today i am here to offer a renewed partnership with america to work together to strengthen the bonds of friendship and commerce between all of the nations of the indo pacific and together to promote our prosperity and security apec  t co gn ybs cyb",1,1,1
"2099","2017-11-10","on behalf of an entire nation happy nd birthday to the men and women of the united states marines usmc semperfi  t co ecgosjp uc",1,1,1
"2100","2017-11-10","the united states is prepared to work with each of the leaders in this room today to achieve mutually beneficial commerce that is in the interests of both your countries and mine that is the message i am here to deliver today apec  t co cm hqt a ",1,1,1
"2101","2017-11-10","throughout my travels i ve had the pleasure of sharing the good news from america i ve had the honor of sharing our vision for a free amp open indo pacific a place where sovereign amp independent nations w diverse cultures amp many different dreams can all prosper side by side  t co qbocy u yv",1,1,1
"2104","2017-11-11","why would kim jong un insult me by calling me old when i would never call him short and fat oh well i try so hard to be his friend and maybe someday that will happen ",-1,-1,-1
"2105","2017-11-11","does the fake news media remember when crooked hillary clinton as secretary of state was begging russia to be our friend with the misspelled reset button obama tried also but he had zero chemistry with putin ",-1,-1,-1
"2106","2017-11-11","when will all the haters and fools out there realize that having a good relationship with russia is a good thing not a bad thing there always playing politics bad for our country i want to solve north korea syria ukraine terrorism and russia can greatly help ",-1,-1,-1
"2107","2017-11-11","met with president putin of russia who was at apec meetings good discussions on syria hope for his help to solve along with china the dangerous north korea crisis progress being made ",-1,1,1
"2109","2017-11-11","president xi of china has stated that he is upping the sanctions against noko said he wants them to denuclearize progress is being made ",1,1,1
"2111","2017-11-11","on this wonderful veterans day i want to express the incredible gratitude of the entire american nation to our great veterans thank you  t co ghqbca yii",1,1,1
"2113","2017-11-12","we had a wonderful visit to vietnam thank you president tran dai quang heading to the aseansummit th anniv gala in the philippines now  t co wfsd ee nm",1,1,1
"2116","2017-11-13","i am proud of the rep house amp senate for working so hard on cutting taxes amp reform we re getting close now how about ending the unfair amp highly unpopular indiv mandate in ocare amp reducing taxes even further cut top rate to w all of the rest going to middle income cuts ",1,1,-1
"2117","2017-11-13","will be leaving the philippines tomorrow after many days of constant mtgs amp work in order to maga my promises are rapidly being fulfilled ",1,1,1
"2119","2017-11-13","happy to announce i am nominating alex azar to be the next hhs secretary he will be a star for better healthcare and lower drug prices ",1,1,1
"2120","2017-11-14","just arrived at asean in the philippines for my final stop with world leaders will lead to fair trade deals unlike the horror shows from past administrations will then be leaving for d c made many good friends ",1,1,1
"2121","2017-11-14","thank you to the amazing staff and their families of the united states embassy in the philippines keep up the great work  t co abvxtsjm ",1,1,1
"2122","2017-11-14","after my tour of asia all countries dealing with us on trade know that the rules have changed the united states has to be treated fairly and in a reciprocal fashion the massive trade deficits must go down quickly ",1,1,1
"2123","2017-11-14","one of the most accurate polls last time around but fakenews likes to say we re in the s they are wrong some people think numbers could be in the s together we will make america great again  t co yhrwkdobhp",1,1,1
"2129","2017-11-15","rt pchowka sean hannity s big week top ratings probing reporting and let there be light at american thinker  t co b rxpzd lb h ",1,1,1
"2131","2017-11-15","just returned from asia after very successful days great to be home ",1,1,1
"2134","2017-11-15","thank you working hard  t co tmndnpbj m",-1,1,1
"2136","2017-11-15"," foxandfriends will be showing much of our successful trip to asia and the friendships amp benefits that will endure for years to come ",1,1,1
"2137","2017-11-15","while in the philippines i was forced to watch cnn which i have not done in months and again realized how bad and fake it is loser ",-1,-1,-1
"2138","2017-11-15","our great country is respected again in asia you will see the fruits of our long but successful trip for many years to come ",1,1,1
"2139","2017-11-15","it is actually hard to believe how naive or dumb the failing nytimes is when it comes to foreign policy weak and ineffective ",-1,-1,-1
"2141","2017-11-15","do you think the three ucla basketball players will say thank you president trump they were headed for years in jail ",1,1,1
"2149","2017-11-16","why are democrats fighting massive tax cuts for the middle class and business jobs the reason obstruction and delay ",-1,-1,-1
"2150","2017-11-17","together we re going to restore safety to our streets and peace to our communities and we re going to destroy the vile criminal cartel ms and many other gangs hundreds arrested in ms crackdown  t co mp d rau  t co mrynwntuoo",-1,-1,-1
"2151","2017-11-17","today it was an honor to celebrate the collegiate national champions of at the whitehouse ncaachampions photos  t co ecl phhzyl  t co w je plwa",1,1,1
"2152","2017-11-17","the al frankenstien picture is really bad speaks a thousand words where do his hands go in pictures amp while she sleeps ",-1,-1,-1
"2155","2017-11-17","put big game trophy decision on hold until such time as i review all conservation facts under study for years will update soon with secretary zinke thank you ",1,1,1
"2159","2017-11-18","crooked hillary clinton is the worst and biggest loser of all time she just can t stop which is so good for the republican party hillary get on with your life and give it another try in three years ",-1,1,-1
"2162","2017-11-19","shoplifting is a very big deal in china as it should be years in jail but not to father lavar should have gotten his son out during my next trip to china instead china told them why they were released very ungrateful ",-1,-1,1
"2166","2017-11-20","under president trump unemployment rate will drop below analysts predict economic boom for foxandfriends and varneyco",1,1,-1
"2167","2017-11-20","border patrol officer killed at southern border another badly hurt we will seek out and bring to justice those responsible we will and must build the wall ",-1,1,-1
"2168","2017-11-20","republican senators are working very hard to get tax cuts and tax reform approved hopefully it will not be long and they do not want to disappoint the american public ",-1,1,1
"2169","2017-11-21","president donald j trump and flotus melania participate in the pardoning of the national thanksgiving turkey at the white house  t co zauqz jfwv",1,1,1
"2170","2017-11-21","today we continued a wonderful american tradition at the white house drumstick and wishbone will live out their days in the beautiful blue ridge mountains at gobbler s rest  t co fss b f ur",1,1,1
"2175","2017-11-22","will be having meetings and working the phones from the winter white house in florida mar a lago stock market hit new record high yesterday trillion gain since e many companies coming back to the u s military building up and getting very strong ",1,1,1
"2177","2017-11-22","rt realjmannarino realdonaldtrump the ungratefulness is something i ve never seen before if you get someone s son out of prison he sho ",-1,-1,-1
"2178","2017-11-22","the nfl is now thinking about a new idea keeping teams in the locker room during the national anthem next season that s almost as bad as kneeling when will the highly paid commissioner finally get tough and smart this issue is killing your league ",-1,-1,-1
"2182","2017-11-23","happy thanksgiving  t co nqhi xopmw",1,1,1
"2183","2017-11-23","obamacare premiums are going up up up just as i have been predicting for two years obamacare is owned by the democrats and it is a disaster but do not worry even though the dems want to obstruct we will repeal amp replace right after tax cuts ",-1,-1,-1
"2185","2017-11-23","happy thanksgiving your country is starting to do really well jobs coming back highest stock market ever military getting really strong we will build the wall v a taking care of our vets great supreme court justice record cut in regs lowest unemployment in years ",1,1,1
"2186","2017-11-23","my great honor to join our incredible men and women of the uscg at the lake worth inlet station in riviera beach florida today happythanksgiving  t co c hr opbp",1,1,1
"2190","2017-11-24","horrible and cowardly terrorist attack on innocent and defenseless worshipers in egypt the world cannot tolerate terrorism we must defeat them militarily and discredit the extremist ideology that forms the basis of their existence ",-1,-1,-1
"2191","2017-11-24","rt scavino today potus realdonaldtrump and flotus melania visit the uscg at the lake worth inlet station in riviera beach florid ",1,1,1
"2192","2017-11-24","can you believe that the disrespect for our country our flag our anthem continues without penalty to the players the commissioner has lost control of the hemorrhaging league players are the boss  t co udxp mr bc",-1,-1,-1
"2200","2017-11-25","happy smallbusinesssaturday a great day to support your community and america s job creators by shopping locally at a smallbiz shopsmall  t co pbqabhvl k",1,1,1
"2201","2017-11-25","the consumer financial protection bureau or cfpb has been a total disaster as run by the previous administrations pick financial institutions have been devastated and unable to properly serve the public we will bring it back to life ",-1,-1,-1
"2202","2017-11-25","check out the recent editorial in the wall street journal wsj about what a complete disaster the cfpb has been under its leader from previous administration who just quit ",-1,-1,-1
"2205","2017-11-26","the last thing we need in alabama and the u s senate is a schumer pelosi puppet who is weak on crime weak on the border bad for our military and our great vets bad for our nd amendment and wants to raises taxes to the sky jones would be a disaster ",-1,-1,-1
"2206","2017-11-26","since the first day i took office all you hear is the phony democrat excuse for losing the election russia russiarussia despite this i have the economy booming and have possibly done more than any month president make america great again ",-1,-1,-1
"2208","2017-11-27","the tax cut bill is coming along very well great support with just a few changes some mathematical the middle class and job producers can get even more in actual dollars and savings and the pass through provision becomes simpler and really works well ",1,1,1
"2213","2017-11-28","rt narendramodi had a wonderful meeting with ivankatrump advisor to potus and leader of the us delegation at the ges  t c ",1,1,1
"2214","2017-11-28","meeting with chuck and nancy today about keeping government open and working problem is they want illegal immigrants flooding into our country unchecked are weak on crime and want to substantially raise taxes i don t see a deal ",-1,-1,-1
"2215","2017-11-28","rt flotus had a wonderful visit from jba nafw children today at the whitehouse whitehousechristmas  t co hnw zhzl",1,1,1
"2216","2017-11-28","rt ivankatrump it was an honor to meet with you prime minister modi thank you for co hosting the th annual global entrepreneurship summ ",1,1,1
"2218","2017-11-28"," the conference board said that consumer sentiment was at its highest level in nearly years in november the consumer confidence index rose from in october to notching its best reading since december  t co inott k vn",1,1,1
"2223","2017-11-28","rt statedeptspox ges highlights the important role of women entrepreneurs amp demonstrates the importance of innovation amp partnershi ",1,1,1
"2224","2017-11-28","rt flotus the decorations are up whitehouse is ready to celebrate wishing you a merry christmas amp joyous holiday season  t co ",1,1,1
"2225","2017-11-28","new home sales reach a year high stock market has more record gains hopefully republican senators will give us the much needed tax cuts to keep it all going democrats want big tax increases ",1,-1,1
"2226","2017-11-28","rt ivankatrump thank you for the warm welcome i m excited to be in hyderabad india for ges  t co u h l rm",1,1,1
"2228","2017-11-29","departing jba nafw for st charles missouri to help push our plan for historic tax cuts across the finish line a successful vote in the senate this week will bring us one giant step closer to delivering an incredible victory for the american people  t co jr deunm h  t co xf srwdv u",1,1,1
"2231","2017-11-29","rt jaydabf video islamist mob pushes teenage boy off roof and beats him to death  t co xxtlxnnsip",-1,-1,-1
"2232","2017-11-29","now we have a once in a lifetime opportunity to restore american prosperity and reclaim america s destiny but in order to achieve this bright and glowing future the senate must pass tax cuts and bring main street roaring back to life  t co jmnwemrbbr  t co niu thp d",1,1,1
"2233","2017-11-29","just spoke to president xi jinping of china concerning the provocative actions of north korea additional major sanctions will be imposed on north korea today this situation will be handled ",-1,1,-1
"2234","2017-11-29","looks like another great day for the stock market consumer confidence is at record high i guess somebody likes me my policies ",1,1,1
"2236","2017-11-29","great and we should boycott fake news cnn dealing with them is a total waste of time  t co zj j g el",-1,-1,-1
"2237","2017-11-29","economy growing excluding hurricane effects cea estimates that real gdp growth would have been in q stock market at a new high unemployment at a low we are winning and tax cuts will shift our economy into high gear  t co hrkif vqe",1,1,1
"2239","2017-11-29","this week the senate can join the house amp take a strong stand for the middle class families who are the backbone of america together we will give the american people a big beautiful christmas present a massive tax cut that lets americans keep more of their hard earned money  t co jddew oo ",1,1,1
"2241","2017-11-29","just won the lawsuit on leadership of consumer financial protection bureau cfpb a big win for the consumer ",1,-1,1
"2243","2017-11-29","charles mccullough the respected fmr intel comm inspector general said public was misled on crooked hillary emails emails endangered national security why aren t our deep state authorities looking at this rigged amp corrupt tuckercarlson seanhannity",-1,1,1
"2244","2017-11-29","a vote to cut taxes is a vote to put america first it is time to take care of our workers to protect our communities and to rebuild our great country  t co ww qnxcchf  t co srl yrk k ",1,1,1
"2245","2017-11-29","wow matt lauer was just fired from nbc for inappropriate sexual behavior in the workplace but when will the top executives at nbc amp comcast be fired for putting out so much fake news check out andy lack s past ",-1,-1,-1
"2253","2017-11-30"," had the information crooked hillary s emails been released there would have been harm to national security charles mcculloughfmr intel comm inspector general  t co b tlw tvhx",-1,1,-1
"2256","2017-11-30","today it was my great honor to meet with the crown prince of bahrain at the whitehouse bahrain and the united states are important partners during the crown prince s visit he is advancing billion in commercial deals including finalizing the purchase of f s  t co vyuw ugymn",1,1,1
"2257","2017-11-30","the only people who don t like the tax cut bill are the people that don t understand it or the obstructionist democrats that know how really good it is and do not want the credit and success to go to the republicans ",1,1,1
"2258","2017-11-30","today is a day that i ve been looking very much forward to all year long it is one that you have heard me speak about many times before now as president of the united states it is my tremendous honor to finally wish america and the world a very merry christmas  t co ctvdlukfhv",1,1,1
"2259","2017-11-30","the failing nytimes has totally gone against the social media guidelines that they installed to preserve some credibility after many of their biased reporters went rogue foxandfriends",-1,-1,-1
"2260","2017-11-30","stock market hits new record high confidence and enthusiasm abound more great numbers coming out ",1,1,1
"2263","2017-11-30","the christmas story begins years ago with a mother a father their baby son and the most extraordinary gift of all the gift of god s love for all of humanity whatever our beliefs we know that the birth of jesus christ and the story of his life  t co p c ljwlx",1,1,1
"2264","2017-12-01","the jury was not told the killer of kate was a time felon the schumer pelosi democrats are so weak on crime that they will pay a big price in the and elections ",-1,-1,-1
"2265","2017-12-01","a disgraceful verdict in the kate steinle case no wonder the people of our country are so angry with illegal immigration ",-1,-1,-1
"2266","2017-12-01","republicans senators are working hard to pass the biggest tax cuts in the history of our country the bill is getting better and better this is a once in a generation chance obstructionist dems trying to block because they think it is too good and will not be given the credit ",-1,1,1
"2269","2017-12-01","the media has been speculating that i fired rex tillerson or that he would be leaving soon fake news he s not leaving and while we disagree on certain subjects i call the final shots we work well together and america is highly respected again  t co frqiplfj e",-1,-1,-1
"2270","2017-12-01","the kate steinle killer came back and back over the weakly protected obama border always committing crimes and being violent and yet this info was not used in court his exoneration is a complete travesty of justice build the wall ",-1,-1,-1
"2273","2017-12-02"," years ago this week a brave seamstress in montgomery alabama uttered one word that changed history  t co eovcbcmikx",1,1,1
"2275","2017-12-03","people who lost money when the stock market went down points based on the false and dishonest reporting of brian ross of abc news he has been suspended should consider hiring a lawyer and suing abc for the damages this bad reporting has caused many millions of dollars ",-1,-1,-1
"2276","2017-12-03","after years of comey with the phony and dishonest clinton investigation and more running the fbi its reputation is in tatters worst in history but fear not we will bring it back to greatness ",-1,-1,-1
"2277","2017-12-03","report anti trump fbi agent led clinton email probe now it all starts to make sense ",1,1,-1
"2282","2017-12-03","i never asked comey to stop investigating flynn just more fake news covering another comey lie ",-1,-1,-1
"2283","2017-12-03","rt govchristie potus has done more to combat the addiction crisis than any other president  t co efjjvre g",-1,-1,-1
"2285","2017-12-03","congratulations to abc news for suspending brian ross for his horrendously inaccurate and dishonest report on the russia russia russia witch hunt more networks and papers should do the same with their fake news ",-1,-1,-1
"2286","2017-12-03","many people in our country are asking what the justice department is going to do about the fact that totally crooked hillary after receiving a subpoena from the united states congress deleted and acid washed emails no justice ",-1,1,1
"2287","2017-12-03","so general flynn lies to the fbi and his life is destroyed while crooked hillary clinton on that now famous fbi holiday interrogation with no swearing in and no recording lies many times and nothing happens to her rigged system or just a double standard ",-1,1,-1
"2290","2017-12-04","a must watch legal scholar alan dershowitz was just on foxandfriends talking of what is going on with respect to the greatest witch hunt in u s political history enjoy ",1,1,1
"2292","2017-12-04","democrats refusal to give even one vote for massive tax cuts is why we need republican roy moore to win in alabama we need his vote on stopping crime illegal immigration border wall military pro life v a judges nd amendment and more no to jones a pelosi schumer puppet ",-1,-1,-1
"2293","2017-12-05","yesterday i was thrilled to be with so many wonderful friends in utah s magnificent capitol it was my honor to sign two presidential proclamations that will modify the national monuments designations of both bears ears and grand staircase escalante  t co jithcpovci  t co dipdauvorb",1,1,1
"2299","2017-12-06","our thoughts and prayers are with everyone in the path of california s wildfires i encourage everyone to heed the advice and orders of local and state officials thank you to all first responders for your incredible work  t co g y pkb ",1,1,1
"2300","2017-12-07","across the battlefields oceans and harrowing skies of europe and the pacific throughout the war one great battle cry could be heard by america s friends and foes alike remember pearl harbor  t co dfev twir",-1,-1,-1
"2303","2017-12-07","today our entire nation pauses to remember pearl harbor and the brave warriors who on that day stood tall and fought for america god bless our heroes who wear the uniform and god bless the united states of america pearlharborremembranceday  t co qghlsplxth",1,1,1
"2305","2017-12-07","today the u s flag flies at half staff at the whitehouse in honor of national pearl harbor remembrance day  t co lkxsbx jf  t co ogmpydr lk",1,1,1
"2307","2017-12-07","today as we remember pearl harbor it was an incredible honor to be joined with surviving veterans of the attack on they are heroes and they are living witnesses to american history all american hearts are filled with gratitude for their service and their sacrifice  t co x ldl o ",1,1,1
"2309","2017-12-08","last thing the make america great again agenda needs is a liberal democrat in senate where we have so little margin for victory already the pelosi schumer puppet jones would vote against us of the time he s bad on crime life border vets guns amp military vote roy moore ",-1,-1,-1
"2310","2017-12-08","fines and penalties against wells fargo bank for their bad acts against their customers and others will not be dropped as has incorrectly been reported but will be pursued and if anything substantially increased i will cut regs but make penalties severe when caught cheating ",-1,-1,-1
"2315","2017-12-08","i fulfilled my campaign promise others didn t  t co bydaohmpvj",1,1,1
"2316","2017-12-08","tonight flotus melania and i were thrilled to welcome so many wonderful friends to the whitehouse and wish them all a very happyhanukkah t co wypkptsp i  t co xhnxzsbec ",1,1,1
"2317","2017-12-09","have a great game today usarmy and usnavy i will be watching we love our u s military on behalf of an entire nation thank you for your sacrifice and service armynavygame usa  t co m w rfwih",1,1,1
"2318","2017-12-09","it was my great honor to celebrate the opening of two extraordinary museums the mississippi state history museum amp the mississippi civil rights museum we pay solemn tribute to our heroes of the past amp dedicate ourselves to building a future of freedom equality justice amp peace  t co akgvpv aa",1,1,1
"2319","2017-12-09","heading to the great state of mississippi at the invitation of their popular and respected governor philbryantms look forward to seeing the new civil rights museum ",1,1,1
"2320","2017-12-09","cnn s slogan is cnn the most trusted name in news everyone knows this is not true that this could in fact be a fraud on the american public there are many outlets that are far more trusted than fake news cnn their slogan should be cnn the least trusted name in news ",1,-1,-1
"2321","2017-12-09","fake news cnn made a vicious and purposeful mistake yesterday they were caught red handed just like lonely brian ross at abc news who should be immediately fired for his mistake watch to see if cnn fires those responsible or was it just gross incompetence ",-1,-1,-1
"2322","2017-12-09","a big contingent of very enthusiastic roy moore fans at the rally last night we can t have a pelosi schumer liberal democrat jones in that important alabama senate seat need your vote to make america great again jones will always vote against what we must do for our country ",1,1,1
"2323","2017-12-09","great evening last night in pensacola florida arena was packed to the rafters the crowd was loud loving and really smart they definitely get what s going on thank you pensacola ",1,1,1
"2325","2017-12-09","this is your land this is your home and it s your voice that matters the most so speak up be heard and fight fight fight for the change you ve been waiting for your entire life merry christmas and thank you pensacola florida  t co gewgzpzrp ",1,1,1
"2327","2017-12-09","great army navy game army wins to and brings home the commander in chief s trophy last time was wow congratulations ",1,1,1
"2328","2017-12-09","great army navy game army wins to and brings home the commander in chief s trophy congratulations ",1,1,1
"2329","2017-12-09"," daveweigel of the washington post just admitted that his picture was a fake fraud showing an almost empty arena last night for my speech in pensacola when in fact he knew the arena was packed as shown also on t v fake news he should be fired ",-1,-1,-1
"2330","2017-12-09"," daveweigel washingtonpost put out a phony photo of an empty arena hours before i arrived the venue w thousands of people outside on their way in real photos now shown as i spoke packed house many people unable to get in demand apology amp retraction from fake news wapo  t co xablfgh ob",-1,-1,-1
"2331","2017-12-10","no american should be separated from their loved ones because of preventable crime committed by those illegally in our country our cities should be sanctuaries for americans not for criminal aliens  t co cvtkcg pln",-1,-1,-1
"2332","2017-12-10","things are going really well for our economy a subject the fake news spends as little time as possible discussing stock market hit another record high unemployment is now at a year low and companies are coming back into the usa really good news and much more to come ",-1,-1,-1
"2334","2017-12-10","very little discussion of all the purposely false and defamatory stories put out this week by the fake news media they are out of control correct reporting means nothing to them major lies written then forced to be withdrawn after they are exposed a stain on america ",-1,-1,-1
"2335","2017-12-11","another false story this time in the failing nytimes that i watch hours of television a day wrong also i seldom if ever watch cnn or msnbc both of which i consider fake news i never watch don lemon who i once called the dumbest man on television bad reporting ",-1,-1,-1
"2336","2017-12-12","wishing all of those celebrating hanukkah around the world a happy and healthy eight nights in the company of those they love  t co a w pdwbxp  t co d mvvpq x",1,1,1
"2338","2017-12-12","the people of alabama will do the right thing doug jones is pro abortion weak on crime military and illegal immigration bad for gun owners and veterans and against the wall jones is a pelosi schumer puppet roy moore will always vote with us vote roy moore ",-1,-1,-1
"2339","2017-12-12","consumer confidence is at an all time high along with a record high stock market unemployment is at a year low make america great again working to pass massive tax cuts looking good ",1,1,1
